Rank,Model,MAE,MSE,RMSE,MAPE,R2
1,GradientBoosting,2.040705789506974,8.021383739099429,2.8322047487954376,22.728082530908818,0.9331037752773611
2,LightGBM,2.0660213975909443,8.050004206085811,2.8372529330473535,23.30941579367893,0.9328650881314196
3,XGBoost,2.096534269638866,8.192844583579493,2.862314550076475,23.68172540389038,0.9316738370576545
4,RandomForest,2.0911579769686455,8.35458260209639,2.890429484020738,23.474798011763152,0.9303249846420593
5,LinearRegression,2.0911040754117427,8.5745159728166,2.928227445540493,23.18976576470066,0.9284907983382684
6,DecisionTree,2.411227968123831,12.050983271346231,3.4714526168948687,27.21581871220457,0.8994979779960947
7,SVR,8.394975375711407,105.12434275551513,10.253016275980212,94.03464424951554,0.12329070824603217
